date,open,high,low,close,volume,openinterest
2011-11-02,51.6,52.5,51.45,52.4,4930,0
2011-11-03,52.0,52.0,51.45,51.45,7694,0
2011-11-04,52.2,52.6,52.1,52.3,4632,0
2011-11-07,52.3,52.55,52.15,52.4,1403,0
2011-11-08,52.4,52.85,52.15,52.15,3079,0
2011-11-09,52.5,52.6,52.1,52.2,1825,0
2011-11-10,51.25,51.25,50.2,50.55,15853,0
2011-11-11,50.65,51.05,50.5,50.9,4281,0
2011-11-14,51.75,52.25,51.75,52.15,6327,0
2011-11-15,52.05,52.1,51.75,51.85,2021,0
2011-11-16,52.15,52.3,51.1,51.2,4562,0
2011-11-17,50.9,51.35,50.5,51.35,4331,0
2011-11-18,50.7,50.8,50.25,50.3,10948,0
2011-11-21,49.9,49.9,49.12,49.23,15116,0
2011-11-22,49.23,49.47,48.83,49.02,8220,0
2011-11-23,48.8,48.86,47.7,47.85,15485,0
2011-11-24,47.8,48.03,47.28,47.86,8808,0
2011-11-25,48.24,48.46,47.05,47.44,8112,0
2011-11-28,48.08,48.3,47.85,48.29,4460,0
2011-11-29,48.75,48.75,48.2,48.72,4492,0
2011-11-30,48.5,48.53,47.75,48.08,4175,0
2011-12-01,49.6,50.6,49.6,50.3,12683,0
2011-12-02,50.1,50.25,49.6,49.82,3499,0
2011-12-05,49.82,49.82,49.2,49.66,2772,0
2011-12-06,49.5,49.5,48.67,48.69,5428,0
2011-12-07,49.0,49.33,49.0,49.2,3116,0
2011-12-08,49.01,49.01,48.4,48.86,4111,0
2011-12-09,48.0,48.63,48.0,48.24,5042,0
2011-12-12,48.94,49.09,48.63,48.8,2920,0
2011-12-13,48.37,48.78,48.17,48.55,2661,0
2011-12-14,48.54,48.6,48.17,48.59,1733,0
2011-12-15,48.01,48.01,47.5,47.5,7274,0
2011-12-16,47.65,47.81,47.45,47.7,3098,0
2011-12-19,47.4,47.4,46.61,46.74,7347,0
2011-12-20,47.05,47.27,46.91,47.0,2779,0
2011-12-21,48.55,49.3,48.55,49.28,9985,0
2011-12-22,49.27,49.32,48.99,49.16,4669,0
2011-12-23,49.89,50.25,49.79,50.0,8472,0
2011-12-26,50.0,50.05,49.8,49.95,3007,0
2011-12-27,49.85,50.0,49.62,49.85,3212,0
2011-12-28,49.75,49.87,49.52,49.57,2542,0
2011-12-29,49.5,49.72,49.22,49.61,3549,0
2011-12-30,50.0,50.15,49.59,49.81,3238,0
